[INFO  2016-07-02 13:55:30,261 com.nanhai.comparator.Test:41] 洛
[INFO  2016-07-02 13:55:30,261 com.nanhai.comparator.Test:41] 阳
[INFO  2016-07-02 13:55:30,261 com.nanhai.comparator.Test:41] 盆
[INFO  2016-07-02 13:55:30,262 com.nanhai.comparator.Test:41] 地
[INFO  2016-07-02 13:55:30,262 com.nanhai.comparator.Test:41] 为
[INFO  2016-07-02 13:55:30,262 com.nanhai.comparator.Test:41] 中
[INFO  2016-07-02 13:55:30,262 com.nanhai.comparator.Test:41] 心
[INFO  2016-07-02 13:55:30,262 com.nanhai.comparator.Test:41] 的
[INFO  2016-07-02 13:55:30,262 com.nanhai.comparator.Test:41] 中
[INFO  2016-07-02 13:55:30,262 com.nanhai.comparator.Test:41] 原
[INFO  2016-07-02 13:55:30,262 com.nanhai.comparator.Test:41] 地
[INFO  2016-07-02 13:55:30,262 com.nanhai.comparator.Test:41] 区
[INFO  2016-07-02 13:55:30,262 com.nanhai.comparator.Test:41] ，
[INFO  2016-07-02 13:55:30,262 com.nanhai.comparator.Test:41] 现
[INFO  2016-07-02 13:55:30,262 com.nanhai.comparator.Test:41] 今
[INFO  2016-07-02 13:55:30,262 com.nanhai.comparator.Test:41] 在
[INFO  2016-07-02 13:55:30,262 com.nanhai.comparator.Test:41] 习
[INFO  2016-07-02 13:55:30,262 com.nanhai.comparator.Test:41] 惯
[INFO  2016-07-02 13:55:30,262 com.nanhai.comparator.Test:41] 上
[INFO  2016-07-02 13:55:30,262 com.nanhai.comparator.Test:41] 多
[INFO  2016-07-02 13:55:30,262 com.nanhai.comparator.Test:41] 指
[INFO  2016-07-02 13:55:30,262 com.nanhai.comparator.Test:41] 中
[INFO  2016-07-02 13:55:30,262 com.nanhai.comparator.Test:41] 华
[INFO  2016-07-02 13:55:30,262 com.nanhai.comparator.Test:41] 人
[INFO  2016-07-02 13:55:30,263 com.nanhai.comparator.Test:41] 民
[INFO  2016-07-02 13:55:30,263 com.nanhai.comparator.Test:41] 共
[INFO  2016-07-02 13:55:30,263 com.nanhai.comparator.Test:41] 和
[INFO  2016-07-02 13:55:30,263 com.nanhai.comparator.Test:41] 国
